Date,Open,High,Low,Close,Adj Close,Volume
2018-07-20,0.736323,0.742280,0.732064,0.736279,0.736279,0
2018-07-23,0.743312,0.743528,0.737659,0.743301,0.743301,0
2018-07-24,0.738007,0.743384,0.736128,0.738007,0.738007,0
2018-07-25,0.742710,0.744048,0.739262,0.742622,0.742622,0
2018-07-26,0.746046,0.746380,0.737953,0.745940,0.745940,0
2018-07-27,0.738334,0.741620,0.737061,0.738007,0.738007,0
2018-07-30,0.740028,0.741400,0.738732,0.740083,0.740083,0
2018-07-31,0.740938,0.744214,0.740461,0.740730,0.740730,0
2018-08-01,0.741851,0.742501,0.739930,0.741950,0.741950,0
2018-08-02,0.740582,0.741021,0.735640,0.740582,0.740582,0
2018-08-03,0.735981,0.741125,0.734878,0.736008,0.736008,0
2018-08-06,0.739443,0.740576,0.737572,0.739590,0.739590,0
2018-08-07,0.738607,0.744103,0.738498,0.738552,0.738552,0
2018-08-08,0.742611,0.743605,0.738492,0.742446,0.742446,0
2018-08-09,0.742661,0.745323,0.739290,0.742777,0.742777,0
2018-08-10,0.737354,0.737681,0.728544,0.737246,0.737246,0
2018-08-13,0.728762,0.729288,0.726332,0.728810,0.728810,0
2018-08-14,0.726422,0.728385,0.723788,0.726797,0.726797,0
2018-08-15,0.723798,0.723798,0.720305,0.723589,0.723589,0
2018-08-16,0.723694,0.728704,0.722804,0.723369,0.723369,0
2018-08-17,0.726111,0.729022,0.725531,0.725953,0.725953,0
2018-08-20,0.730887,0.731850,0.729650,0.730818,0.730818,0
2018-08-21,0.733622,0.736594,0.733439,0.733649,0.733649,0
2018-08-22,0.736198,0.736540,0.733514,0.735981,0.735981,0
2018-08-23,0.733407,0.733407,0.726269,0.733299,0.733299,0
2018-08-24,0.724428,0.734430,0.723898,0.724323,0.724323,0
2018-08-27,0.734268,0.735024,0.730887,0.734408,0.734408,0
2018-08-28,0.734970,0.736377,0.732257,0.734862,0.734862,0
2018-08-29,0.734700,0.735078,0.727696,0.734107,0.734107,0
2018-08-30,0.731112,0.731112,0.726190,0.731192,0.731192,0
2018-08-31,0.726164,0.726480,0.719011,0.726164,0.726164,0
2018-09-03,0.718912,0.722387,0.717000,0.719321,0.719321,0
2018-09-04,0.720617,0.723589,0.715932,0.720825,0.720825,0
2018-09-05,0.718546,0.721813,0.714796,0.718339,0.718339,0
2018-09-06,0.719616,0.721084,0.716743,0.719611,0.719611,0
2018-09-07,0.719062,0.719238,0.712809,0.719062,0.719062,0
2018-09-10,0.711389,0.713419,0.709990,0.711794,0.711794,0
2018-09-11,0.710884,0.713012,0.708617,0.710985,0.710985,0
2018-09-12,0.711187,0.718081,0.709421,0.711071,0.711071,0
2018-09-13,0.717051,0.723014,0.716851,0.717062,0.717062,0
2018-09-14,0.718701,0.721709,0.717129,0.718804,0.718804,0
2018-09-17,0.714260,0.719735,0.714260,0.714592,0.714592,0
2018-09-18,0.714490,0.722126,0.714490,0.714592,0.714592,0
2018-09-19,0.722491,0.727431,0.721501,0.722601,0.722601,0
2018-09-20,0.725948,0.729022,0.725521,0.725953,0.725953,0
2018-09-21,0.728704,0.730300,0.726549,0.728651,0.728651,0
2018-09-24,0.728014,0.728279,0.725321,0.727855,0.727855,0
2018-09-25,0.725258,0.726375,0.723694,0.725321,0.725321,0
2018-09-26,0.724848,0.728491,0.724113,0.724900,0.724900,0
2018-09-27,0.725531,0.726903,0.721033,0.725789,0.725789,0
2018-09-28,0.720580,0.724218,0.720461,0.720513,0.720513,0
2018-10-01,0.722298,0.722804,0.720767,0.722392,0.722392,0
2018-10-02,0.722810,0.723746,0.716332,0.722857,0.722857,0
2018-10-03,0.718701,0.719580,0.713572,0.718752,0.718752,0
2018-10-04,0.709668,0.710278,0.706669,0.709623,0.709623,0
2018-10-05,0.708065,0.708662,0.704791,0.708100,0.708100,0
2018-10-08,0.705418,0.707814,0.704310,0.705288,0.705288,0
2018-10-09,0.707314,0.709623,0.705467,0.707364,0.707364,0
2018-10-10,0.711379,0.713216,0.708818,0.711491,0.711491,0
2018-10-11,0.706514,0.712809,0.706065,0.706414,0.706414,0
2018-10-12,0.712438,0.713842,0.711202,0.712454,0.712454,0
2018-10-15,0.710671,0.714745,0.709925,0.710783,0.710783,0
2018-10-16,0.713725,0.715154,0.711318,0.713542,0.713542,0
2018-10-17,0.713980,0.715968,0.711238,0.713913,0.713913,0
2018-10-18,0.711086,0.715205,0.711086,0.711101,0.711101,0
2018-10-19,0.709552,0.715001,0.709109,0.709723,0.709723,0
2018-10-22,0.711592,0.712606,0.708416,0.711329,0.711329,0
2018-10-23,0.707164,0.709119,0.705612,0.707269,0.707269,0
2018-10-24,0.709310,0.710783,0.706864,0.709119,0.709119,0
2018-10-25,0.706314,0.710026,0.705766,0.706299,0.706299,0
2018-10-26,0.707940,0.708918,0.702198,0.708115,0.708115,0
2018-10-29,0.709759,0.710889,0.707399,0.709774,0.709774,0
2018-10-30,0.706414,0.712048,0.705960,0.706329,0.706329,0
2018-10-31,0.709920,0.710621,0.707464,0.709925,0.709925,0
2018-11-01,0.708316,0.720981,0.708080,0.708316,0.708316,0
2018-11-02,0.720451,0.725900,0.719373,0.720513,0.720513,0
2018-11-05,0.719808,0.721813,0.718391,0.719828,0.719828,0
2018-11-06,0.721241,0.724060,0.720690,0.721293,0.721293,0
2018-11-07,0.724260,0.730193,0.721449,0.724360,0.724360,0
2018-11-08,0.727569,0.730092,0.726559,0.727590,0.727590,0
2018-11-09,0.726586,0.727114,0.722439,0.726681,0.726681,0
2018-11-12,0.722710,0.723903,0.718856,0.722700,0.722700,0
2018-11-13,0.717360,0.722335,0.716589,0.717566,0.717566,0
2018-11-14,0.723118,0.723788,0.718907,0.723139,0.723139,0
2018-11-15,0.723432,0.729767,0.723369,0.723484,0.723484,0
2018-11-16,0.727188,0.731989,0.725090,0.727167,0.727167,0
2018-11-19,0.732011,0.732708,0.728688,0.731797,0.731797,0
2018-11-20,0.729671,0.730193,0.723312,0.729501,0.729501,0
2018-11-21,0.721719,0.727802,0.721084,0.721657,0.721657,0
2018-11-22,0.726222,0.727008,0.723599,0.726216,0.726216,0
2018-11-23,0.725163,0.725689,0.722001,0.725021,0.725021,0
2018-11-26,0.723327,0.727696,0.722596,0.723380,0.723380,0
2018-11-27,0.722491,0.726956,0.720513,0.722350,0.722350,0
2018-11-28,0.722919,0.724900,0.722262,0.722961,0.722961,0
2018-11-29,0.730514,0.734484,0.729591,0.730252,0.730252,0
2018-11-30,0.732279,0.732708,0.728597,0.732188,0.732188,0
2018-12-03,0.737354,0.739317,0.734916,0.737311,0.737311,0
2018-12-04,0.735565,0.739317,0.734948,0.735689,0.735689,0
2018-12-05,0.734700,0.735510,0.726048,0.734592,0.734592,0
2018-12-06,0.726375,0.726375,0.719419,0.726639,0.726639,0
2018-12-07,0.723401,0.724113,0.720648,0.723118,0.723118,0
2018-12-10,0.718360,0.722804,0.718128,0.718494,0.718494,0
2018-12-11,0.719321,0.722700,0.718597,0.719099,0.719099,0
2018-12-12,0.721308,0.723317,0.720305,0.721293,0.721293,0
2018-12-13,0.721397,0.724690,0.721293,0.722126,0.722126,0
2018-12-14,0.722230,0.722852,0.715292,0.722491,0.722491,0
2018-12-17,0.717566,0.718732,0.717000,0.717566,0.717566,0
2018-12-18,0.717978,0.720617,0.717139,0.717721,0.717721,0
2018-12-19,0.718990,0.720202,0.717087,0.718804,0.718804,0
2018-12-20,0.711359,0.714939,0.708717,0.711389,0.711389,0
2018-12-21,0.711794,0.712301,0.707214,0.711592,0.711592,0
2018-12-24,0.704900,0.707014,0.704558,0.705020,0.705020,0
