Date,Adj Close
2018-07-20,0.736279
2018-07-23,0.743301
2018-07-24,0.738007
2018-07-25,0.742622
2018-07-26,0.74594
2018-07-27,0.738007
2018-07-30,0.740083
2018-07-31,0.74073
2018-08-01,0.74195
2018-08-02,0.740582
2018-08-03,0.736008
2018-08-06,0.73959
2018-08-07,0.738552
2018-08-08,0.742446
2018-08-09,0.742777
2018-08-10,0.737246
2018-08-13,0.72881
2018-08-14,0.726797
2018-08-15,0.723589
2018-08-16,0.723369
2018-08-17,0.725953
2018-08-20,0.730818
2018-08-21,0.733649
2018-08-22,0.735981
2018-08-23,0.733299
2018-08-24,0.724323
2018-08-27,0.734408
2018-08-28,0.734862
2018-08-29,0.734107
2018-08-30,0.731192
2018-08-31,0.726164
2018-09-03,0.719321
2018-09-04,0.720825
2018-09-05,0.718339
2018-09-06,0.719611
2018-09-07,0.719062
2018-09-10,0.711794
2018-09-11,0.710985
2018-09-12,0.711071
2018-09-13,0.717062
2018-09-14,0.718804
2018-09-17,0.714592
2018-09-18,0.714592
2018-09-19,0.722601
2018-09-20,0.725953
2018-09-21,0.728651
2018-09-24,0.727855
2018-09-25,0.725321
2018-09-26,0.7249
2018-09-27,0.725789
2018-09-28,0.720513
2018-10-01,0.722392
2018-10-02,0.722857
2018-10-03,0.718752
2018-10-04,0.709623
2018-10-05,0.7081
2018-10-08,0.705288
2018-10-09,0.707364
2018-10-10,0.711491
2018-10-11,0.706414
2018-10-12,0.712454
2018-10-15,0.710783
2018-10-16,0.713542
2018-10-17,0.713913
2018-10-18,0.711101
2018-10-19,0.709723
2018-10-22,0.711329
2018-10-23,0.707269
2018-10-24,0.709119
2018-10-25,0.706299
2018-10-26,0.708115
2018-10-29,0.709774
2018-10-30,0.706329
2018-10-31,0.709925
2018-11-01,0.708316
2018-11-02,0.720513
2018-11-05,0.719828
2018-11-06,0.721293
2018-11-07,0.72436
2018-11-08,0.72759
2018-11-09,0.726681
2018-11-12,0.7227
2018-11-13,0.717566
2018-11-14,0.723139
2018-11-15,0.723484
2018-11-16,0.727167
2018-11-19,0.731797
2018-11-20,0.729501
2018-11-21,0.721657
2018-11-22,0.726216
2018-11-23,0.725021
2018-11-26,0.72338
2018-11-27,0.72235
2018-11-28,0.722961
2018-11-29,0.730252
2018-11-30,0.732188
2018-12-03,0.737311
2018-12-04,0.735689
2018-12-05,0.734592
2018-12-06,0.726639
2018-12-07,0.723118
2018-12-10,0.718494
2018-12-11,0.719099
2018-12-12,0.721293
2018-12-13,0.722126
2018-12-14,0.722491
2018-12-17,0.717566
2018-12-18,0.717721
2018-12-19,0.718804
2018-12-20,0.711389
2018-12-21,0.711592
2018-12-24,0.70502
2018-12-25,0.705219
2018-12-26,0.704612
2018-12-27,0.707479
2018-12-28,0.703532
2018-12-31,0.704473
2019-01-01,0.704176
2019-01-02,0.704791
2019-01-03,0.691898
2019-01-04,0.700624
2019-01-07,0.712378
2019-01-08,0.714592
2019-01-09,0.716332
2019-01-10,0.717566
2019-01-11,0.718701
2019-01-14,0.720513
2019-01-15,0.719942
2019-01-16,0.720767
2019-01-17,0.717309
2019-01-18,0.719031
2019-01-21,0.716384
2019-01-22,0.715891
2019-01-23,0.71221
2019-01-24,0.714796
2019-01-25,0.709119
2019-01-28,0.717942
2019-01-29,0.716599
2019-01-30,0.715922
2019-01-31,0.725468
2019-02-01,0.727167
2019-02-04,0.7249
2019-02-05,0.721402
